model,seq_len,toks_per_s,ms_per_tok,peak_mem_MB
transformer_base,1024,514480.30058495875,0.0019437090183297794,143.106048
transformer_base,2048,494327.8236749727,0.0020229490473866463,361.324544
transformer_base,4096,314401.53329561383,0.003180646065933009,1212.801024
transformer_base,8192,166952.88437112802,0.00598971382714808,4576.698368
transformer_base,16384,94516.41755384413,0.010580172480937714,17948.172288
hydra_base,1024,345102.02852436627,0.0028976937755942345,143.149056
hydra_base,2048,676332.8616026613,0.0014785618986934423,367.579136
hydra_base,4096,723137.0912522054,0.0013828636535132925,1231.675392
hydra_base,8192,481349.615526772,0.00207749205098177,4654.36672
hydra_base,16384,306458.56413050304,0.0032630838783613094,18244.091904
hydra_no_moe,1024,692113.3864933461,0.0014448499617477257,130.695168
hydra_no_moe,2048,1250597.0967679317,0.0007996180405219396,355.115008
hydra_no_moe,4096,931191.8687576787,0.001073892538746198,1219.190784
hydra_no_moe,8192,547158.634237486,0.0018276235399146874,4641.841152
hydra_no_moe,16384,330159.21576659987,0.003028841698930288,18231.484416
hydra_no_attn,1024,415631.9407756264,0.0024059748587508998,90.609664
hydra_no_attn,2048,827905.6037781312,0.0012078671716153622,124.715008
hydra_no_attn,4096,1648647.5501851304,0.0006065577811871966,195.64544
hydra_no_attn,8192,1983417.8063324385,0.0005041802069172263,334.065664
hydra_no_attn,16384,2080942.2675236387,0.00048055153456516564,613.199872
hydra_parity,1024,308385.8835017681,0.003242690581828356,149.31968
hydra_parity,2048,604460.2746949235,0.0016543684372057517,373.850112
hydra_parity,4096,660072.3927422221,0.0015149853425100446,1237.950464
hydra_parity,8192,457308.72169083066,0.002186706600089868,4660.649984
hydra_parity,16384,297030.6509092455,0.0033666559223396084,18250.391552
